Stamp,Status,AT,B,K,Noe,Ooe,Szbg,Stmk,T,V,W
2021-01-04 09:30:00,Hospitalisierung,2321,37,135,422,525,139,375,143,63,482
2021-01-04 09:30:00,Intensivstation,368,5,15,47,72,22,61,33,11,102
2021-01-04 09:30:00,Tested,5407690,216967,178750,722228,701299,220667,665544,789587,417672,1494976
2021-01-04 09:30:00,Tested_PCR,3793090,116381,175424,722228,474508,220667,399394,463166,241759,979563
2021-01-04 09:30:00,Tested_AG,1614600,100586,3326,NA,226791,NA,266150,326421,175913,515413
2021-01-04 15:00:00,Confirmed,366192,9494,21658,55241,72962,29288,43193,41009,19602,73745
2021-01-05 08:00:00,Confirmed,367396,9518,21706,55476,73056,29456,43365,41115,19673,74031
2021-01-05 09:30:00,Deaths,6457,182,538,891,1271,344,1377,484,223,1147
2021-01-05 09:30:00,Recovered,343039,9035,20102,51568,69345,26073,38891,39356,19144,69555
2021-01-05 09:30:00,Hospitalisierung,2404,44,136,446,506,146,395,155,69,507
2021-01-05 09:30:00,Intensivstation,371,5,13,49,68,21,62,33,11,109
2021-01-05 09:30:00,Tested,5725868,221147,179667,724823,709101,410921,758647,793517,422711,1505334
2021-01-05 09:30:00,Tested_PCR,3808540,116831,175979,724823,476011,221884,401663,464568,243080,983701
2021-01-05 09:30:00,Tested_AG,1917328,104316,3688,NA,233090,189037,356984,328949,179631,521633
2021-01-05 15:00:00,Confirmed,368321,9591,21786,55660,73253,29557,43399,41173,19728,74174
2021-01-06 09:30:00,Deaths,6525,182,542,901,1282,348,1401,488,224,1157
2021-01-06 09:30:00,Recovered,344974,9117,20124,51847,69689,26280,39265,39542,19189,69921
2021-01-06 09:30:00,Hospitalisierung,2383,48,132,458,491,149,377,149,69,510
2021-01-06 09:30:00,Intensivstation,361,6,13,52,62,22,57,31,12,106
2021-01-06 09:30:00,Tested,6466812,221930,180596,1398890,733211,411298,773436,798641,427465,1521345
2021-01-06 09:30:00,Tested_PCR,3831170,117204,176672,727993,478014,222244,403411,467068,245146,993418
2021-01-06 09:30:00,Tested_AG,2635642,104726,3924,670897,255197,189054,370025,331573,182319,527927
2021-01-06 15:00:00,Confirmed,370918,9656,21913,56166,73824,29921,43712,41361,19877,74488
2021-01-07 08:00:00,Confirmed,371983,9662,22071,56333,73855,30046,43936,41393,19916,74771
2021-01-07 09:30:00,Deaths,6568,182,542,915,1296,349,1409,488,224,1163
2021-01-07 09:30:00,Recovered,346901,9180,20318,52102,69857,26533,39482,39686,19329,70414
2021-01-07 09:30:00,Hospitalisierung,2354,49,135,443,480,148,366,144,82,507
2021-01-07 09:30:00,Intensivstation,373,8,12,56,58,21,63,31,13,111
2021-01-07 09:30:00,Tested,6499087,222837,181292,1404390,736600,413343,775205,805325,429819,1530276
2021-01-07 09:30:00,Tested_PCR,3847922,117825,177195,733493,479281,224289,405180,468213,246233,996213
2021-01-07 09:30:00,Tested_AG,2651165,105012,4097,670897,257319,189054,370025,337112,183586,534063
2021-01-07 15:00:00,Confirmed,373046,9709,22205,56488,74035,30148,44094,41470,19951,74946
2021-01-08 08:00:00,Confirmed,373920,9720,22229,56611,74111,30297,44191,41556,20000,75205
2021-01-08 09:30:00,Deaths,6641,185,547,931,1306,358,1422,490,226,1176
2021-01-08 09:30:00,Recovered,349215,9243,20522,52373,70262,26882,39774,39922,19432,70805
2021-01-08 09:30:00,Hospitalisierung,2371,48,141,459,462,140,371,151,75,524
2021-01-08 09:30:00,Intensivstation,371,9,12,55,60,16,65,33,14,107
2021-01-08 09:30:00,Tested,6538823,223840,182085,1413461,740793,414825,777725,809509,435163,1541422
2021-01-08 09:30:00,Tested_PCR,3871527,118226,177954,742564,480864,225771,407620,470159,247237,1001132
2021-01-08 09:30:00,Tested_AG,2667296,105614,4131,670897,259929,189054,370105,339350,187926,540290
2021-01-08 15:00:00,Confirmed,374863,9741,22293,56887,74377,30329,44292,41608,20049,75287
2021-01-09 08:00:00,Confirmed,376053,9762,22413,57106,74543,30526,44461,41674,20075,75493
2021-01-09 09:30:00,Deaths,6687,188,547,938,1317,360,1429,493,228,1187
2021-01-09 09:30:00,Recovered,351382,9334,20709,52819,70660,27263,39774,40123,19594,71106
2021-01-09 09:30:00,Hospitalisierung,2326,49,142,445,462,138,361,146,74,509
2021-01-09 09:30:00,Intensivstation,369,7,17,57,60,18,61,28,15,106
2021-01-09 09:30:00,Tested,6644117,272441,182689,1419389,747790,415930,779776,821915,439282,1564905
2021-01-09 09:30:00,Tested_PCR,3891307,118901,178387,748492,482469,226876,409590,471581,248358,1006653
2021-01-09 09:30:00,Tested_AG,2752810,153540,4302,670897,265321,189054,370186,350334,190924,558252
2021-01-09 15:00:00,Confirmed,376993,9805,22469,57281,74677,30629,44561,41762,20124,75685
2021-01-10 08:00:00,Confirmed,377511,9815,22532,57326,74742,30702,44627,41797,20162,75808
2021-01-10 09:30:00,Deaths,6723,188,550,947,1327,360,1433,493,228,1197
2021-01-10 09:30:00,Recovered,353749,9385,20885,53254,70997,27554,40321,40298,19723,71332
2021-01-10 09:30:00,Hospitalisierung,2246,46,152,422,441,133,323,147,72,510
2021-01-10 09:30:00,Intensivstation,372,7,16,61,62,21,51,30,12,112
2021-01-10 09:30:00,Tested,6679036,272933,183132,1426857,751238,416536,780640,825603,441492,1580605
2021-01-10 09:30:00,Tested_PCR,3905482,119246,178707,755960,483783,227482,410454,472479,249228,1008143
2021-01-10 09:30:00,Tested_AG,2773554,153687,4425,670897,267455,189054,370186,353124,192264,572462
2021-01-10 15:00:00,Confirmed,378323,9836,22590,57508,74895,30767,44677,41885,20162,76003
2021-01-11 08:00:00,Confirmed,378971,9857,22645,57602,74923,30833,44816,41910,20221,76164
2021-01-11 09:30:00,Deaths,6747,188,556,951,1330,360,1438,493,229,1202
2021-01-11 09:30:00,Recovered,355530,9452,20992,53642,71237,27812,40464,40514,19843,71574
2021-01-11 09:30:00,Hospitalisierung,2297,40,158,441,463,132,335,149,80,499
2021-01-11 09:30:00,Intensivstation,379,7,17,62,63,21,54,30,12,113
2021-01-11 09:30:00,Tested,6714575,273419,185022,1434040,754838,417160,781272,829371,443549,1595904
2021-01-11 09:30:00,Tested_PCR,3919571,119544,180380,763143,484917,228106,411086,473311,250035,1009049
2021-01-11 09:30:00,Tested_AG,2795004,153875,4642,670897,269921,189054,370186,356060,193514,586855
2021-01-11 15:00:00,Confirmed,379662,9892,22686,57769,75024,30920,44918,42001,20254,76198
2021-01-12 08:00:00,Confirmed,380640,9896,22728,57881,75119,31055,45069,42052,20267,76573
2021-01-12 09:30:00,Deaths,6819,189,560,961,1335,367,1456,495,231,1225
2021-01-12 09:30:00,Recovered,357562,9518,21106,54026,71488,28063,40834,40696,19958,71873
2021-01-12 09:30:00,Hospitalisierung,2301,40,136,449,429,135,383,156,80,493
2021-01-12 09:30:00,Intensivstation,378,7,19,59,55,19,69,30,12,108
2021-01-12 09:30:00,Tested,6865442,275208,296216,1438174,757238,418537,785761,830934,449011,1614363
2021-01-12 09:30:00,Tested_PCR,3936835,120392,181008,767277,486255,229483,413169,474874,250603,1013774
2021-01-12 09:30:00,Tested_AG,2928607,154816,115208,670897,270983,189054,372592,356060,198408,600589
2021-01-12 15:00:00,Confirmed,381608,9928,22821,58144,75311,31159,45146,42121,20324,76654
2021-01-13 08:00:00,Confirmed,382566,9936,22894,58330,75424,31248,45319,42176,20324,76915
2021-01-13 09:30:00,Deaths,6868,190,560,968,1345,371,1466,500,231,1237
2021-01-13 09:30:00,Recovered,359692,9574,21212,54287,71806,28419,41160,40868,20057,72309
2021-01-13 09:30:00,Hospitalisierung,2179,41,122,455,382,128,353,151,72,475
2021-01-13 09:30:00,Intensivstation,354,7,15,55,58,15,61,27,11,105
2021-01-13 09:30:00,Tested,6989709,276473,297286,1493613,771841,419837,804761,840158,452489,1633251
2021-01-13 09:30:00,Tested_PCR,3955650,120656,181855,770575,487601,230783,415083,476813,251618,1020666
2021-01-13 09:30:00,Tested_AG,3034059,155817,115431,723038,284240,189054,389678,363345,200871,612585
2021-01-13 15:00:00,Confirmed,383083,9938,22928,58391,75562,31343,45399,42185,20369,76968
2021-01-14 08:00:00,Confirmed,384025,9994,23006,58568,75670,31469,45502,42235,20427,77154
2021-01-14 09:30:00,Deaths,6921,191,569,982,1350,375,1470,504,232,1248
2021-01-14 09:30:00,Recovered,362931,9625,21974,54642,72650,28639,41435,41042,20186,72738
2021-01-14 09:30:00,Hospitalisierung,2086,46,105,432,369,126,344,143,71,450
2021-01-14 09:30:00,Intensivstation,361,7,13,56,57,17,59,26,15,111
2021-01-14 09:30:00,Tested,7379973,277590,298091,1503006,1109704,433123,806091,843027,455590,1653751
2021-01-14 09:30:00,Tested_PCR,3980936,121179,182532,779968,489007,231944,416413,479439,252644,1027810
2021-01-14 09:30:00,Tested_AG,3399037,156411,115559,723038,620697,201179,389678,363588,202946,625941
2021-01-14 15:00:00,Confirmed,384708,10026,23036,58715,75806,31502,45564,42297,20425,77337
2021-01-15 08:00:00,Confirmed,385447,10037,23090,58846,75903,31602,45714,42354,20423,77478
2021-01-15 09:30:00,Deaths,6987,192,578,989,1362,377,1478,506,236,1269
2021-01-15 09:30:00,Recovered,365214,9677,22200,54999,73063,28883,41759,41255,20299,73079
2021-01-15 09:30:00,Hospitalisierung,2042,49,109,429,351,130,317,140,73,444
2021-01-15 09:30:00,Intensivstation,337,6,11,55,51,17,58,26,14,99
2021-01-15 09:30:00,Tested,7459608,278257,298951,1510727,1116743,434147,820834,846070,461195,1692684
2021-01-15 09:30:00,Tested_PCR,4003480,121540,183160,787689,490694,232968,420733,480553,253726,1032417
2021-01-15 09:30:00,Tested_AG,3456128,156717,115791,723038,626049,201179,400101,365517,207469,660267
2021-01-15 15:00:00,Confirmed,385951,10036,23099,58932,76016,31692,45703,42403,20424,77646
2021-01-16 08:00:00,Confirmed,386980,10086,23180,59124,76126,31753,45908,42452,20549,77802
2021-01-16 09:30:00,Deaths,7053,193,581,1005,1367,385,1486,516,236,1284
2021-01-16 09:30:00,Recovered,367785,9731,22433,55696,73466,29131,42092,41436,20444,73356
2021-01-16 09:30:00,Hospitalisierung,2010,48,112,427,344,141,300,138,67,433
2021-01-16 09:30:00,Intensivstation,342,6,12,56,52,17,61,24,13,101
2021-01-16 09:30:00,Tested,7538732,285688,299475,1517468,1121154,434955,828541,858048,464165,1729238
2021-01-16 09:30:00,Tested_PCR,4027073,122040,183466,794430,491798,233776,422877,483497,254720,1040469
2021-01-16 09:30:00,Tested_AG,3511659,163648,116009,723038,629356,201179,405664,374551,209445,688769
2021-01-16 15:00:00,Confirmed,387518,10087,23231,59226,76215,31817,45994,42536,20573,77839
2021-01-17 08:00:00,Confirmed,388053,10119,23267,59297,76256,31932,46048,42564,20578,77992
2021-01-17 09:30:00,Deaths,7082,193,583,1017,1370,386,1487,516,236,1294
2021-01-17 09:30:00,Recovered,369218,9768,22602,55876,73740,29288,42308,41571,20555,73510
2021-01-17 09:30:00,Hospitalisierung,1963,53,112,416,353,140,287,132,60,410
2021-01-17 09:30:00,Intensivstation,328,6,8,59,49,16,61,24,12,93
2021-01-17 09:30:00,Tested,7590771,286349,299957,1524009,1125890,435571,829431,864413,466843,1758308
2021-01-17 09:30:00,Tested_PCR,4043704,122593,183827,800971,492559,234392,423767,486015,255687,1043893
2021-01-17 09:30:00,Tested_AG,3547067,163756,116130,723038,633331,201179,405664,378398,211156,714415
2021-01-17 15:00:00,Confirmed,388719,10122,23263,59536,76330,32009,46157,42633,20617,78052
2021-01-18 08:00:00,Confirmed,389106,10159,23328,59580,76381,32028,46186,42667,20634,78143
2021-01-18 09:30:00,Deaths,7122,194,588,1027,1374,388,1491,518,237,1305
2021-01-18 09:30:00,Recovered,370865,9826,22732,56167,74057,29443,42547,41710,20651,73732
2021-01-18 09:30:00,Hospitalisierung,2007,52,128,422,356,130,288,132,61,438
2021-01-18 09:30:00,Intensivstation,334,7,8,57,48,16,63,23,9,103
2021-01-18 09:30:00,Tested,7697762,343641,302014,1530603,1129640,436212,829933,869960,468719,1787040
2021-01-18 09:30:00,Tested_PCR,4059420,122911,185754,807565,493453,235033,424269,488097,256220,1046118
2021-01-18 09:30:00,Tested_AG,3638342,220730,116260,723038,636187,201179,405664,381863,212499,740922
2021-01-18 15:00:00,Confirmed,389720,10167,23345,59862,76465,32072,46298,42694,20656,78161
2021-01-19 08:00:00,Confirmed,390546,10219,23395,60049,76530,32127,46385,42757,20671,78413
2021-01-19 09:30:00,Deaths,7199,199,596,1039,1381,391,1513,523,239,1318
2021-01-19 09:30:00,Recovered,373090,9890,22895,56642,74379,29659,42831,41885,20734,74175
2021-01-19 09:30:00,Hospitalisierung,2061,55,116,440,339,135,300,151,61,464
2021-01-19 09:30:00,Intensivstation,332,8,9,56,48,19,57,24,9,102
2021-01-19 09:30:00,Tested,7878732,346502,424344,1533092,1133696,441668,852248,874409,472691,1800082
2021-01-19 09:30:00,Tested_PCR,4079164,125163,186366,810054,494611,236046,426189,490627,256822,1053286
2021-01-19 09:30:00,Tested_AG,3799568,221339,237978,723038,639085,205622,426059,383782,215869,746796
2021-01-19 15:00:00,Confirmed,390936,10226,23411,60151,76667,32217,46315,42803,20695,78451
2021-01-20 08:00:00,Confirmed,391878,10247,23453,60319,76777,32339,46504,42838,20720,78681
2021-01-20 09:30:00,Deaths,7237,201,602,1046,1381,392,1519,523,242,1331
2021-01-20 09:30:00,Recovered,374824,9900,23001,56971,74578,29833,43078,42006,20840,74617
2021-01-20 09:30:00,Hospitalisierung,2006,50,125,427,311,127,291,153,55,467
2021-01-20 09:30:00,Intensivstation,323,8,12,54,43,20,52,29,9,96
2021-01-20 09:30:00,Tested,8488882,347780,426472,2079628,1151162,446595,861388,878194,480022,1817641
2021-01-20 09:30:00,Tested_PCR,4102843,125222,187139,813341,496006,237519,428481,492275,258035,1064825
2021-01-20 09:30:00,Tested_AG,4386039,222558,239333,1266287,655156,209076,432907,221987,221987,752816
2021-01-20 15:00:00,Confirmed,392329,10270,23541,60387,76850,32393,46499,42899,20722,78768
2021-01-21 08:00:00,Confirmed,393432,10286,23615,60602,76992,32535,46703,42953,20818,78928
2021-01-21 09:30:00,Deaths,7288,202,608,1062,1388,397,1525,526,242,1338
2021-01-21 09:30:00,Recovered,376360,9953,23122,57221,74787,29955,43294,42113,20918,74997
2021-01-21 09:30:00,Hospitalisierung,1946,51,109,418,295,124,283,142,56,468
2021-01-21 09:30:00,Intensivstation,340,8,11,55,43,21,56,31,11,104
2021-01-21 09:30:00,Tested,8542282,350289,427206,2089186,1156144,451493,861388,881736,485500,1832293
2021-01-21 09:30:00,Tested_PCR,4130769,127442,187764,822899,497582,238748,430651,493916,259209,1072558
2021-01-21 09:30:00,Tested_AG,4411513,222847,239442,1266287,658562,212745,437784,387820,226291,759735
2021-01-21 15:00:00,Confirmed,394008,10331,23632,60735,77144,32588,46746,43009,20839,78984
2021-01-22 08:00:00,Confirmed,394949,10359,23702,60886,77226,32691,46907,43044,20872,79262
2021-01-22 09:30:00,Deaths,7330,203,610,1074,1389,401,1531,526,243,1353
2021-01-22 09:30:00,Recovered,378408,10009,23255,57464,75054,30532,43518,42239,21001,75336
2021-01-22 09:30:00,Hospitalisierung,1917,53,96,420,286,129,284,135,51,463
2021-01-22 09:30:00,Intensivstation,331,8,10,54,41,19,53,34,11,101
2021-01-22 09:30:00,Tested,8607152,352275,428497,2096891,1174394,455931,861388,886084,490297,1848134
2021-01-22 09:30:00,Tested_PCR,4156075,128520,188332,830604,499065,239819,432713,495651,260201,1081170
2021-01-22 09:30:00,Tested_AG,4451077,223755,240165,1266287,675329,216112,441936,390433,230096,766964
2021-01-22 15:00:00,Confirmed,395429,10358,23730,60974,77334,32750,46961,43105,20897,79320
2021-01-23 08:00:00,Confirmed,396335,10385,23793,61100,77451,32865,47111,43176,20934,79520
2021-01-23 09:30:00,Deaths,7389,206,610,1079,1405,407,1538,528,243,1373
2021-01-23 09:30:00,Recovered,380248,10106,23405,57857,75299,30704,43749,42354,21106,75668
2021-01-23 09:30:00,Hospitalisierung,1848,42,83,421,270,125,281,129,48,449
2021-01-23 09:30:00,Intensivstation,323,8,10,51,38,21,53,29,10,103
2021-01-23 09:30:00,Tested,8683128,360755,429156,2105221,1179321,468836,887529,890847,496302,1865161
2021-01-23 09:30:00,Tested_PCR,4178647,129878,188893,838934,500392,240690,434083,496738,261217,1087822
2021-01-23 09:30:00,Tested_AG,4504481,230877,240263,1266287,678929,228146,453446,394109,235085,777339
2021-01-23 15:00:00,Confirmed,396929,10395,23841,61239,77535,32907,47217,43234,20970,79591
2021-01-24 08:00:00,Confirmed,397538,10434,23869,61332,77580,33021,47273,43275,20985,79769
2021-01-24 09:30:00,Deaths,7418,206,611,1085,1415,409,1539,528,243,1382
2021-01-24 09:30:00,Recovered,381654,10145,23513,58157,75484,30875,43874,42457,21179,75970
2021-01-24 09:30:00,Hospitalisierung,1817,44,81,412,278,115,265,126,47,449
2021-01-24 09:30:00,Intensivstation,320,7,9,53,38,22,48,29,11,103
2021-01-24 09:30:00,Tested,8735122,361192,429539,2111482,1184481,471712,901237,896047,500945,1878487
2021-01-24 09:30:00,Tested_PCR,4194743,130205,189208,845195,501295,241338,435735,498031,262073,1091663
2021-01-24 09:30:00,Tested_AG,4540379,230987,240331,1266287,683186,230374,465502,398016,238872,786824
2021-01-24 15:00:00,Confirmed,398113,10460,23896,61406,77681,33096,47385,43340,20994,79855
2021-01-25 08:00:00,Confirmed,398399,10472,23936,61449,77725,33115,47393,43363,21029,79917
2021-01-25 09:30:00,Deaths,7451,207,612,1095,1418,411,1544,530,243,1391
2021-01-25 09:30:00,Recovered,383200,10176,23609,58492,75746,31002,44072,42537,21253,76313
2021-01-25 09:30:00,Hospitalisierung,1846,45,91,413,282,119,271,128,58,439
2021-01-25 09:30:00,Intensivstation,320,7,10,54,39,22,48,31,12,97
2021-01-25 09:30:00,Tested,8802827,363324,431300,2120739,1209927,472757,912384,901684,502892,1887820
2021-01-25 09:30:00,Tested_PCR,4212009,130708,190911,854452,502320,241802,436330,499519,262649,1093318
2021-01-25 09:30:00,Tested_AG,4590818,232616,240389,1266287,707607,230955,476054,402165,240243,794502
2021-01-25 15:00:00,Confirmed,399084,10480,23963,61596,77895,33178,47504,43471,21058,79939
2021-01-26 08:00:00,Confirmed,399805,10521,24019,61753,77959,33241,47587,43523,21068,80134
2021-01-26 09:30:00,Deaths,7515,212,616,1107,1422,417,1555,531,243,1412
2021-01-26 09:30:00,Recovered,384926,10266,23729,58666,76082,31167,44342,42667,21333,76674
2021-01-26 09:30:00,Hospitalisierung,1886,49,97,420,274,124,278,134,53,457
2021-01-26 09:30:00,Intensivstation,320,6,9,53,37,21,50,32,12,100
2021-01-26 09:30:00,Tested,8906083,366055,441746,2124498,1225159,492193,936367,908278,507027,1904760
2021-01-26 09:30:00,Tested_PCR,4233116,131119,191484,858211,503618,242836,438657,502860,263152,1101179
2021-01-26 09:30:00,Tested_AG,4672967,234936,250262,1266287,721541,249357,497710,405418,243875,803581
2021-01-26 15:00:00,Confirmed,400581,10559,24044,61908,78070,33346,47669,43604,21099,80282
2021-01-28 08:00:00,Confirmed,406763,10637,25541,62235,79513,34047,48385,44098,21653,80654
2021-01-28 09:30:00,Deaths,7607,216,622,1123,1435,427,1571,536,250,1427
2021-01-28 09:30:00,Recovered,387787,10374,23903,59281,76397,31434,44692,42859,21475,77372
2021-01-28 09:30:00,Hospitalisierung,1791,39,92,394,240,114,270,128,47,467
2021-01-28 09:30:00,Intensivstation,298,8,7,53,32,17,44,26,11,100
2021-01-28 09:30:00,Tested,9089588,370933,442908,2145980,1272766,501870,967699,920422,519339,1947671
2021-01-28 09:30:00,Tested_PCR,4290953,132858,192466,869703,506351,245291,443521,508745,265374,1126644
2021-01-28 09:30:00,Tested_AG,4798635,238075,250442,1276277,766415,256579,524178,411677,253965,821027
2021-01-28 15:00:00,Confirmed,407362,10655,25599,62344,79631,34138,48482,44172,21671,80670
2021-01-29 08:00:00,Confirmed,408532,10665,25684,62585,79767,34210,48640,44222,21721,81038
2021-01-29 09:30:00,Deaths,7658,216,623,1132,1439,429,1582,538,251,1448
2021-01-29 09:30:00,Recovered,389476,10416,24058,59582,76640,31625,44872,42999,21541,77743
2021-01-29 09:30:00,Hospitalisierung,1747,44,90,382,222,106,270,119,50,464
2021-01-29 09:30:00,Intensivstation,298,9,9,52,34,18,43,28,9,96
2021-01-29 09:30:00,Tested,9160616,373613,451498,2154156,1284990,506813,978212,925227,524937,1961170
2021-01-29 09:30:00,Tested_PCR,4311485,133460,193120,877879,507628,246347,445926,510461,266410,1130254
2021-01-29 09:30:00,Tested_AG,4849131,240153,258378,1276277,777362,260466,532286,414766,258527,830916
2021-01-29 15:00:00,Confirmed,409127,10693,25725,62734,79901,34266,48716,44294,21761,81037
2021-01-30 08:00:00,Confirmed,409928,10704,25772,62848,80004,34363,48879,44376,21783,81199
2021-01-30 09:30:00,Deaths,7703,217,624,1139,1448,431,1589,540,251,1464
2021-01-30 09:30:00,Recovered,391076,10453,24182,59882,76915,31805,45079,43131,21605,78024
2021-01-30 09:30:00,Hospitalisierung,1682,39,90,373,193,106,254,116,50,461
2021-01-30 09:30:00,Intensivstation,296,9,8,56,33,19,37,30,10,94
2021-01-30 09:30:00,Tested,9286075,385984,452148,2162851,1298759,514521,994793,954467,531560,1990992
2021-01-30 09:30:00,Tested_PCR,4342458,134075,193590,886574,509031,247361,447877,511429,267387,1145134
2021-01-30 09:30:00,Tested_AG,4943617,251909,258558,1276277,789728,267160,546916,443038,264173,845858
2021-01-30 15:00:00,Confirmed,410412,10707,25828,62969,80096,34431,48907,44410,21823,81241
2021-01-31 08:00:00,Confirmed,411009,10709,25867,63013,80127,34475,49049,44460,21841,81468
2021-01-31 09:30:00,Deaths,7721,218,626,1139,1452,431,1596,540,251,1468
2021-01-31 09:30:00,Recovered,392497,10483,24308,60163,77151,31966,45264,43238,21705,78219
2021-01-31 09:30:00,Hospitalisierung,1676,44,87,371,195,107,238,126,51,457
2021-01-31 09:30:00,Intensivstation,299,8,7,55,35,19,39,30,9,97
2021-01-31 09:30:00,Tested,9355779,388800,452572,2169282,1308615,517081,1002589,960220,536247,2020373
2021-01-31 09:30:00,Tested_PCR,4368529,134436,193965,893005,509723,247830,448674,512892,268242,1159762
2021-01-31 09:30:00,Tested_AG,4987250,254364,258607,1276277,798892,269251,553915,447328,268005,860611
2021-01-31 15:00:00,Confirmed,411708,10750,25904,63152,80207,34517,49184,44561,21874,81559
